sno;id;name;category;image;model_number;brand;color_family;link;newprice;oldprice
29;RE393EL27OYA;Rearth Back Cover for iPhone 6 / 6S (I6-RE-E-B, Black);Mobile Cases & Covers;https://f.wadicdn.com/product/27/2861/1-product.jpg;I6-RE-E-B;Rearth;black;https://en-ae.wadi.com/back-cover-for-iphone-6-6s-i6-re-e-b-black-168272.html;82;82
30;RE393EL19OYI;Rearth Tempered Glass for OnePlus 2 (1P2-RE-SP6-A, Clear);Mobile Cases & Covers;https://f.wadicdn.com/product/08/2861/1-product.jpg;1P2-RE-SP6-A;Rearth;Transparent;https://en-ae.wadi.com/tempered-glass-for-oneplus-2-1p2-re-sp6-a-clear-168280.html;51;51
31;RE393EL36OXR;Rearth Back Cover for Samsung Galaxy S7 Edge (S7E-RE-S-B, Black);Mobile Cases & Covers;https://f.wadicdn.com/product/36/2861/1-product.jpg;S7E-RE-S-B;Rearth;black;https://en-ae.wadi.com/back-cover-for-samsung-galaxy-s7-edge-s7e-re-s-b-black-168263.html;58;58
32;RE393EL38OXP;Rearth Back Cover for Samsung Galaxy S7 Edge (S7E-RE-FR-W, White);Mobile Cases & Covers;https://f.wadicdn.com/product/16/2861/1-product.jpg;S7E-RE-FR-W;Rearth;white;https://en-ae.wadi.com/back-cover-for-samsung-galaxy-s7-edge-s7e-re-fr-w-white-168261.html;58;58
33;RE393EL42OXL;Rearth Back Cover for Galaxy S7 Edge - Smoke Black (S7E-RE-F-SM, Black);Mobile Cases & Covers;https://f.wadicdn.com/product/75/2861/1-product.jpg;S7E-RE-F-SM;Rearth;black;https://en-ae.wadi.com/back-cover-for-galaxy-s7-edge-smoke-black-s7e-re-f-sm-black-168257.html;64;64
34;RE393EL39OXO;Rearth Back Cover for Samsung Galaxy S7 (S7-RE-S-B, Black);Mobile Cases & Covers;https://f.wadicdn.com/product/06/2861/1-product.jpg;S7-RE-S-B;Rearth;black;https://en-ae.wadi.com/back-cover-for-samsung-galaxy-s7-s7-re-s-b-black-168260.html;58;58
35;NI023EL62PEJ;Nillkin Back Cover for Apple iPhone 6/6S (I6-NL-SS-W, White);Mobile Cases & Covers;https://f.wadicdn.com/product/73/4861/1-product.jpg;I6-NL-SS-W;Nillkin;white;https://en-ae.wadi.com/back-cover-for-apple-iphone-6-6s-i6-nl-ss-w-white-168437.html;50;50
36;RE393EL31OXW;Rearth Back Cover for iPhone 6 Plus / 6S Plus (I6P-RE-AI-C, Clear);Mobile Cases & Covers;https://f.wadicdn.com/product/86/2861/1-product.jpg;I6P-RE-AI-C;Rearth;Transparent;https://en-ae.wadi.com/back-cover-for-iphone-6-plus-6s-plus-i6p-re-ai-c-clear-168268.html;58;58
37;RE393EL32OXV;Rearth Back Cover for OnePlus X (1PX-RE-F-SM, Black);Mobile Cases & Covers;https://f.wadicdn.com/product/76/2861/1-product.jpg;1PX-RE-F-SM;Rearth;black;https://en-ae.wadi.com/back-cover-for-oneplus-x-1px-re-f-sm-black-168267.html;64;64
38;RE393EL37OXQ;Rearth Back Cover for Samsung Galaxy S7 Edge (S7E-RE-S-GO, Gold);Mobile Cases & Covers;https://f.wadicdn.com/product/26/2861/1-product.jpg;S7E-RE-S-GO;Rearth;gold;https://en-ae.wadi.com/back-cover-for-samsung-galaxy-s7-edge-s7e-re-s-go-gold-168262.html;58;58
39;RE393EL34OXT;Rearth Back Cover for Xperia Z5 Premium (XPZ5P-RE-F-SM, Black);Mobile Cases & Covers;https://f.wadicdn.com/product/56/2861/1-product.jpg;XPZ5P-RE-F-SM;Rearth;black;https://en-ae.wadi.com/back-cover-for-xperia-z5-premium-xpz5p-re-f-sm-black-168265.html;64;64
40;RE393EL23OYE;Rearth Back Cover for HTC One A9 (H1A9-RE-F-C, Clear);Mobile Cases & Covers;https://f.wadicdn.com/product/67/2861/1-product.jpg;H1A9-RE-F-C;Rearth;Transparent;https://en-ae.wadi.com/back-cover-for-htc-one-a9-h1a9-re-f-c-clear-168276.html;64;64
41;RE393EL44OXJ;Rearth Back Cover for Galaxy S7 Edge - Crystal (S7E-RE-F-C, Clear);Mobile Cases & Covers;https://f.wadicdn.com/product/55/2861/1-product.jpg;S7E-RE-F-C;Rearth;Transparent;https://en-ae.wadi.com/back-cover-for-galaxy-s7-edge-crystal-s7e-re-f-c-clear-168255.html;64;64
42;RE393EL43OXK;Rearth Back Cover for Galaxy S7 Edge - Rose Gold (S7E-RE-F-RGO, Gold);Mobile Cases & Covers;https://f.wadicdn.com/product/65/2861/1-product.jpg;S7E-RE-F-RGO;Rearth;gold;https://en-ae.wadi.com/back-cover-for-galaxy-s7-edge-rose-gold-s7e-re-f-rgo-gold-168256.html;64;64
43;LU719EL73AYS;Luxa2 Posh iPhone 5/5S Case (Black) - LHA0082-A;Mobile Cases & Covers;https://f.wadicdn.com/product/62/8851/1-product.jpg;LHA0082-A;LUXA2;black;https://en-ae.wadi.com/luxa2-posh-iphone-5-5s-case-black-lha0082-a-158826.html;65;65
44;NI023EL39PFG;Nillkin Flip Case for Samsung Galaxy S6 (S6-NL-QL-B, Black);Mobile Cases & Covers;https://f.wadicdn.com/product/06/4861/1-product.jpg;S6-NL-QL-B;Nillkin;black;https://en-ae.wadi.com/flip-case-for-samsung-galaxy-s6-s6-nl-ql-b-black-168460.html;64;64
45;RE393EL40OXN;Rearth Back Cover for Samsung Galaxy S7 (S7-RE-S-GO, Gold);Mobile Cases & Covers;https://f.wadicdn.com/product/95/2861/1-product.jpg;S7-RE-S-GO;Rearth;gold;https://en-ae.wadi.com/back-cover-for-samsung-galaxy-s7-s7-re-s-go-gold-168259.html;58;58
46;RE393EL41OXM;Rearth Back Cover for Samsung Galaxy S7 (S7-RE-FR-W, White);Mobile Cases & Covers;https://f.wadicdn.com/product/85/2861/1-product.jpg;S7-RE-FR-W;Rearth;white;https://en-ae.wadi.com/back-cover-for-samsung-galaxy-s7-s7-re-fr-w-white-168258.html;58;58
47;LU719EL76AYP;Luxa2 Sandstone iPhone 5/5S Case (Grey) - LHA0080-C;Mobile Cases & Covers;https://f.wadicdn.com/product/32/8851/1-product.jpg;LHA0080-C;LUXA2;grey;https://en-ae.wadi.com/luxa2-sandstone-iphone-5-5s-case-grey-lha0080-c-158823.html;56;56
48;LU719EL70AYV;Luxa2 Posh iPhone 5/5S Case (Blue) - LHA0082-D;Mobile Cases & Covers;https://f.wadicdn.com/product/92/8851/1-product.jpg;LHA0082-D;LUXA2;blue;https://en-ae.wadi.com/luxa2-posh-iphone-5-5s-case-blue-lha0082-d-158829.html;65;65
49;LU719EL71AYU;Luxa2 Posh iPhone 5/5S Case (Red) - LHA0082-C;Mobile Cases & Covers;https://f.wadicdn.com/product/82/8851/1-product.jpg;LHA0082-C;LUXA2;red;https://en-ae.wadi.com/luxa2-posh-iphone-5-5s-case-red-lha0082-c-158828.html;65;65
50;LU719EL72AYT;Luxa2 Posh iPhone 5/5S Case (Purple) - LHA0082-B;Mobile Cases & Covers;https://f.wadicdn.com/product/72/8851/1-product.jpg;LHA0082-B;LUXA2;purple;https://en-ae.wadi.com/luxa2-posh-iphone-5-5s-case-purple-lha0082-b-158827.html;65;65
51;LU719EL74AYR;Luxa2 Sandstone iPhone 5/5S Case (Green) - LHA0080-E;Mobile Cases & Covers;https://f.wadicdn.com/product/52/8851/1-product.jpg;LHA0080-E;LUXA2;green;https://en-ae.wadi.com/luxa2-sandstone-iphone-5-5s-case-green-lha0080-e-158825.html;56;56
52;NI023EL00PCX;Nillkin Flip Case for Google Nexus 9 (NEX9-NL-LT-B, Black);Mobile Cases & Covers;https://f.wadicdn.com/product/99/3861/1-product.jpg;NEX9-NL-LT-B;Nillkin;black;https://en-ae.wadi.com/flip-case-for-google-nexus-9-nex9-nl-lt-b-black-168399.html;60;60
53;NI023EL01PCW;Nillkin Back Cover for Google Nexus 6P (NEX6P-NL-SS-B, Black);Mobile Cases & Covers;https://f.wadicdn.com/product/89/3861/1-product.jpg;NEX6P-NL-SS-B;Nillkin;black;https://en-ae.wadi.com/back-cover-for-google-nexus-6p-nex6p-nl-ss-b-black-168398.html;50;50
54;NI023EL04PCT;Nillkin Back Cover for Google Nexus 5X (NEX5X-NL-SS-B, Black);Mobile Cases & Covers;https://f.wadicdn.com/product/59/3861/1-product.jpg;NEX5X-NL-SS-B;Nillkin;black;https://en-ae.wadi.com/back-cover-for-google-nexus-5x-nex5x-nl-ss-b-black-168395.html;50;50
55;NI023EL05PCS;Nillkin Flip Case for Google Nexus 5X (NEX5X-NL-LT-B, Black);Mobile Cases & Covers;https://f.wadicdn.com/product/49/3861/1-product.jpg;NEX5X-NL-LT-B;Nillkin;black;https://en-ae.wadi.com/flip-case-for-google-nexus-5x-nex5x-nl-lt-b-black-168394.html;60;60
56;NI023EL02PCV;Nillkin Back Cover for Google Nexus 6 (NEX6-NL-SS-B, Black);Mobile Cases & Covers;https://f.wadicdn.com/product/79/3861/1-product.jpg;NEX6-NL-SS-B;Nillkin;black;https://en-ae.wadi.com/back-cover-for-google-nexus-6-nex6-nl-ss-b-black-168397.html;50;50
57;NI023EL07PCQ;Nillkin Flip Case for Google Nexus 5 (NEX5-NL-LT-B, Black);Mobile Cases & Covers;https://f.wadicdn.com/product/29/3861/1-product.jpg;NEX5-NL-LT-B;Nillkin;black;https://en-ae.wadi.com/flip-case-for-google-nexus-5-nex5-nl-lt-b-black-168392.html;60;60
58;NI023EL03PCU;Nillkin Flip Case for Google Nexus 6 (NEX6-NL-LT-B, Black);Mobile Cases & Covers;https://f.wadicdn.com/product/69/3861/1-product.jpg;NEX6-NL-LT-B;Nillkin;black;https://en-ae.wadi.com/flip-case-for-google-nexus-6-nex6-nl-lt-b-black-168396.html;60;60
